Tabla 1
,,,,
CÓDIGO AGRUPADOR DEL SAT.,,,,
"El código agrupador del SAT tiene el objetivo de que la información sea presentada de manera uniforme, para lo cual es necesario que los contribuyentes asocien las cuentas de su catálogo de cuentas al código agrupador por naturaleza y preponderancia de la cuenta.",,,,
Código agrupador del SAT.,,,,
,,,,
Nivel,Código,Nombre de la cuenta y/o subcuenta,,
2,504.25,Otras cuentas de costos,,
1,505,Costo de activo fijo,,
2,505.01,Costo por venta de activo fijo,,
2,505.02,Costo por baja de activo fijo,,
,600,Gastos,,
1,601,Gastos generales,,
2,601.01,Sueldos y salarios,,
2,601.02,Compensaciones,,
2,601.03,Tiempos extras,,
2,601.04,Premios de asistencia,,
2,601.05,Premios de puntualidad,,
2,601.06,Vacaciones,,
2,601.07,Prima vacacional,,
2,601.08,Prima dominical,,
2,601.09,Días festivos,,
2,601.1,Gratificaciones,,
2,601.11,Primas de antigüedad,,
2,601.12,Aguinaldo,,
2,601.13,Indemnizaciones,,
2,601.14,Destajo,,
2,601.15,Despensa,,
2,601.16,Transporte,,
2,601.17,Servicio médico,,
2,601.18,Ayuda en gastos funerarios,,
2,601.19,Fondo de ahorro,,
,,,,
2,601.2,Cuotas sindicales,,
2,601.21,PTU,,
2,601.22,Estímulo al personal,,
2,601.23,Previsión social,,
2,601.24,Aportaciones para el plan de jubilación,,
2,601.25,Otras prestaciones al personal,,
2,601.26,Cuotas al IMSS,,
2,601.27,Aportaciones al infonavit,,
2,601.28,Aportaciones al SAR,,
2,601.29,Impuesto estatal sobre nóminas,,
2,601.3,Otras aportaciones,,
2,601.31,Asimilados a salarios,,
2,601.32,Servicios administrativos,,
2,601.33,Servicios administrativos partes relacionadas,,
2,601.34,Honorarios a personas físicas residentes nacionales,,
2,601.35,Honorarios a personas físicas residentes nacionales partes relacionadas,,
2,601.36,Honorarios a personas físicas residentes del extranjero,,
2,601.37,Honorarios a personas físicas residentes del extranjero partes relacionadas,,
2,601.38,Honorarios a personas morales residentes nacionales,,
2,601.39,Honorarios a personas morales residentes nacionales partes relacionadas,,
2,601.4,Honorarios a personas morales residentes del extranjero,,
2,601.41,Honorarios a personas morales residentes del extranjero partes relacionadas,,
2,601.42,Honorarios aduanales personas físicas,,
2,601.43,Honorarios aduanales personas morales,,
2,601.44,Honorarios al consejo de administración,,
2,601.45,Arrendamiento a personas físicas residentes nacionales,,
2,601.46,Arrendamiento a personas morales residentes nacionales,,
2,601.47,Arrendamiento a residentes del extranjero,,
2,601.48,Combustibles y lubricantes,,
2,601.49,Viáticos y gastos de viaje,,
2,601.5,"Teléfono, internet",,
2,601.51,Agua,,
2,601.52,Energía eléctrica,,
2,601.53,Vigilancia y seguridad,,
2,601.54,Limpieza,,
2,601.55,Papelería y artículos de oficina,,
2,601.56,Mantenimiento y conservación,,
2,601.57,Seguros y fianzas,,
,,,,
2,601.58,Otros impuestos y derechos,,
2,601.59,Recargos fiscales,,
2,601.6,Cuotas y suscripciones,,
2,601.61,Propaganda y publicidad,,
2,601.62,Capacitación al personal,,
2,601.63,Donativos y ayudas,,
2,601.64,Asistencia técnica,,
2,601.65,Regalías sujetas a otros porcentajes,,
2,601.66,Regalías sujetas al 5%,,
2,601.67,Regalías sujetas al 10%,,
2,601.68,Regalías sujetas al 15%,,
2,601.69,Regalías sujetas al 25%,,
2,601.7,Regalías sujetas al 30%,,
2,601.71,Regalías sin retención,,
2,601.72,Fletes y acarreos,,
2,601.73,Gastos de importación,,
2,601.74,Comisiones sobre ventas,,
2,601.75,Comisiones por tarjetas de crédito,,
2,601.76,Patentes y marcas,,
2,601.77,Uniformes,,
2,601.78,Prediales,,
2,601.79,Gastos generales de urbanización,,
2,601.8,Gastos generales de construcción,,
2,601.81,Fletes del extranjero,,
2,601.82,Recolección de bienes del sector agropecuario y/o ganadero,,
2,601.83,Gastos no deducibles (sin requisitos fiscales),,
2,601.84,Otros gastos generales,,
1,602,Gastos de venta,,
2,602.01,Sueldos y salarios,,
2,602.02,Compensaciones,,
2,602.03,Tiempos extras,,
2,602.04,Premios de asistencia,,
2,602.05,Premios de puntualidad,,
2,602.06,Vacaciones,,
2,602.07,Prima vacacional,,
2,602.08,Prima dominical,,
2,602.09,Días festivos,,
2,602.1,Gratificaciones,,
,,,,
2,602.11,Primas de antigüedad,,
2,602.12,Aguinaldo,,
2,602.13,Indemnizaciones,,
2,602.14,Destajo,,
2,602.15,Despensa,,
2,602.16,Transporte,,
2,602.17,Servicio médico,,
2,602.18,Ayuda en gastos funerarios,,
2,602.19,Fondo de ahorro,,
2,602.2,Cuotas sindicales,,
2,602.21,PTU,,
2,602.22,Estímulo al personal,,
2,602.23,Previsión social,,
2,602.24,Aportaciones para el plan de jubilación,,
2,602.25,Otras prestaciones al personal,,
2,602.26,Cuotas al IMSS,,
2,602.27,Aportaciones al infonavit,,
2,602.28,Aportaciones al SAR,,
2,602.29,Impuesto estatal sobre nóminas,,
2,602.3,Otras aportaciones,,
2,602.31,Asimilados a salarios,,
2,602.32,Servicios administrativos,,
2,602.33,Servicios administrativos partes relacionadas,,
2,602.34,Honorarios a personas físicas residentes nacionales,,
2,602.35,Honorarios a personas físicas residentes nacionales partes relacionadas,,
2,602.36,Honorarios a personas físicas residentes del extranjero,,
2,602.37,Honorarios a personas físicas residentes del extranjero partes relacionadas,,
2,602.38,Honorarios a personas morales residentes nacionales,,
2,602.39,Honorarios a personas morales residentes nacionales partes relacionadas,,
2,602.4,Honorarios a personas morales residentes del extranjero,,
2,602.41,Honorarios a personas morales residentes del extranjero partes relacionadas,,
2,602.42,Honorarios aduanales personas físicas,,
2,602.43,Honorarios aduanales personas morales,,
2,602.44,Honorarios al consejo de administración,,
2,602.45,Arrendamiento a personas físicas residentes nacionales,,
2,602.46,Arrendamiento a personas morales residentes nacionales,,
2,602.47,Arrendamiento a residentes del extranjero,,
2,602.48,Combustibles y lubricantes,,
,,,,
2,602.49,Viáticos y gastos de viaje,,
2,602.5,"Teléfono, internet",,
2,602.51,Agua,,
2,602.52,Energía eléctrica,,
2,602.53,Vigilancia y seguridad,,
2,602.54,Limpieza,,
2,602.55,Papelería y artículos de oficina,,
2,602.56,Mantenimiento y conservación,,
2,602.57,Seguros y fianzas,,
2,602.58,Otros impuestos y derechos,,
2,602.59,Recargos fiscales,,
2,602.6,Cuotas y suscripciones,,
2,602.61,Propaganda y publicidad,,
2,602.62,Capacitación al personal,,
2,602.63,Donativos y ayudas,,
2,602.64,Asistencia técnica,,
2,602.65,Regalías sujetas a otros porcentajes,,
2,602.66,Regalías sujetas al 5%,,
2,602.67,Regalías sujetas al 10%,,
2,602.68,Regalías sujetas al 15%,,
2,602.69,Regalías sujetas al 25%,,
2,602.7,Regalías sujetas al 30%,,
2,602.71,Regalías sin retención,,
2,602.72,Fletes y acarreos,,
2,602.73,Gastos de importación,,
2,602.74,Comisiones sobre ventas,,
2,602.75,Comisiones por tarjetas de crédito,,
2,602.76,Patentes y marcas,,
2,602.77,Uniformes,,
2,602.78,Prediales,,
2,602.79,Gastos de venta de urbanización,,
2,602.8,Gastos de venta de construcción,,
2,602.81,Fletes del extranjero,,
2,602.82,Recolección de bienes del sector agropecuario y/o ganadero,,
2,602.83,Gastos no deducibles (sin requisitos fiscales),,
2,602.84,Otros gastos de venta,,
1,603,Gastos de administración,,
2,603.01,Sueldos y salarios,,
,,,,
2,603.02,Compensaciones,,
2,603.03,Tiempos extras,,
2,603.04,Premios de asistencia,,
2,603.05,Premios de puntualidad,,
2,603.06,Vacaciones,,
2,603.07,Prima vacacional,,
2,603.08,Prima dominical,,
2,603.09,Días festivos,,
2,603.1,Gratificaciones,,
2,603.11,Primas de antigüedad,,
2,603.12,Aguinaldo,,
2,603.13,Indemnizaciones,,
2,603.14,Destajo,,
2,603.15,Despensa,,
2,603.16,Transporte,,
2,603.17,Servicio médico,,
2,603.18,Ayuda en gastos funerarios,,
2,603.19,Fondo de ahorro,,
2,603.2,Cuotas sindicales,,
2,603.21,PTU,,
2,603.22,Estímulo al personal,,
2,603.23,Previsión social,,
2,603.24,Aportaciones para el plan de jubilación,,
2,603.25,Otras prestaciones al personal,,
2,603.26,Cuotas al IMSS,,
2,603.27,Aportaciones al infonavit,,
2,603.28,Aportaciones al SAR,,
2,603.29,Impuesto estatal sobre nóminas,,
2,603.3,Otras aportaciones,,
2,603.31,Asimilados a salarios,,
2,603.32,Servicios administrativos,,
2,603.33,Servicios administrativos partes relacionadas,,
2,603.34,Honorarios a personas físicas residentes nacionales,,
2,603.35,Honorarios a personas físicas residentes nacionales partes relacionadas,,
2,603.36,Honorarios a personas físicas residentes del extranjero,,
2,603.37,Honorarios a personas físicas residentes del extranjero partes relacionadas,,
2,603.38,Honorarios a personas morales residentes nacionales,,
2,603.39,Honorarios a personas morales residentes nacionales partes relacionadas,,
,,,,
2,603.4,Honorarios a personas morales residentes del extranjero,,
2,603.41,Honorarios a personas morales residentes del extranjero partes relacionadas,,
2,603.42,Honorarios aduanales personas físicas,,
2,603.43,Honorarios aduanales personas morales,,
2,603.44,Honorarios al consejo de administración,,
2,603.45,Arrendamiento a personas físicas residentes nacionales,,
2,603.46,Arrendamiento a personas morales residentes nacionales,,
2,603.47,Arrendamiento a residentes del extranjero,,
2,603.48,Combustibles y lubricantes,,
2,603.49,Viáticos y gastos de viaje,,
2,603.5,"Teléfono, internet",,
2,603.51,Agua,,
2,603.52,Energía eléctrica,,
2,603.53,Vigilancia y seguridad,,
2,603.54,Limpieza,,
2,603.55,Papelería y artículos de oficina,,
2,603.56,Mantenimiento y conservación,,
2,603.57,Seguros y fianzas,,
2,603.58,Otros impuestos y derechos,,
2,603.59,Recargos fiscales,,
2,603.6,Cuotas y suscripciones,,
2,603.61,Propaganda y publicidad,,
2,603.62,Capacitación al personal,,
2,603.63,Donativos y ayudas,,
2,603.64,Asistencia técnica,,
2,603.65,Regalías sujetas a otros porcentajes,,
2,603.66,Regalías sujetas al 5%,,
2,603.67,Regalías sujetas al 10%,,
2,603.68,Regalías sujetas al 15%,,
2,603.69,Regalías sujetas al 25%,,
2,603.7,Regalías sujetas al 30%,,
2,603.71,Regalías sin retención,,
2,603.72,Fletes y acarreos,,
2,603.73,Gastos de importación,,
2,603.74,Patentes y marcas,,
2,603.75,Uniformes,,
2,603.76,Prediales,,
2,603.77,Gastos de administración de urbanización,,
,,,,
2,603.78,Gastos de administración de construcción,,
2,603.79,Fletes del extranjero,,
2,603.8,Recolección de bienes del sector agropecuario y/o ganadero,,
2,603.81,Gastos no deducibles (sin requisitos fiscales),,
2,603.82,Otros gastos de administración,,
1,604,Gastos de fabricación,,
2,604.01,Sueldos y salarios,,
2,604.02,Compensaciones,,
2,604.03,Tiempos extras,,
2,604.04,Premios de asistencia,,
2,604.05,Premios de puntualidad,,
2,604.06,Vacaciones,,
2,604.07,Prima vacacional,,
2,604.08,Prima dominical,,
2,604.09,Días festivos,,
2,604.1,Gratificaciones,,
2,604.11,Primas de antigüedad,,
2,604.12,Aguinaldo,,
2,604.13,Indemnizaciones,,
2,604.14,Destajo,,
2,604.15,Despensa,,
2,604.16,Transporte,,
2,604.17,Servicio médico,,
2,604.18,Ayuda en gastos funerarios,,
2,604.19,Fondo de ahorro,,
2,604.2,Cuotas sindicales,,
2,604.21,PTU,,
2,604.22,Estímulo al personal,,
2,604.23,Previsión social,,
2,604.24,Aportaciones para el plan de jubilación,,
2,604.25,Otras prestaciones al personal,,
2,604.26,Cuotas al IMSS,,
2,604.27,Aportaciones al infonavit,,
2,604.28,Aportaciones al SAR,,
2,604.29,Impuesto estatal sobre nóminas,,
2,604.3,Otras aportaciones,,
2,604.31,Asimilados a salarios,,
2,604.32,Servicios administrativos,,
,,,,
2,604.33,Servicios administrativos partes relacionadas,,
2,604.34,Honorarios a personas físicas residentes nacionales,,
2,604.35,Honorarios a personas físicas residentes nacionales partes relacionadas,,
2,604.36,Honorarios a personas físicas residentes del extranjero,,
2,604.37,Honorarios a personas físicas residentes del extranjero partes relacionadas,,
2,604.38,Honorarios a personas morales residentes nacionales,,
2,604.39,Honorarios a personas morales residentes nacionales partes relacionadas,,
2,604.4,Honorarios a personas morales residentes del extranjero,,
2,604.41,Honorarios a personas morales residentes del extranjero partes relacionadas,,
2,604.42,Honorarios aduanales personas físicas,,
2,604.43,Honorarios aduanales personas morales,,
2,604.44,Honorarios al consejo de administración,,
2,604.45,Arrendamiento a personas físicas residentes nacionales,,
2,604.46,Arrendamiento a personas morales residentes nacionales,,
2,604.47,Arrendamiento a residentes del extranjero,,
2,604.48,Combustibles y lubricantes,,
2,604.49,Viáticos y gastos de viaje,,
2,604.5,"Teléfono, internet",,
2,604.51,Agua,,
2,604.52,Energía eléctrica,,
2,604.53,Vigilancia y seguridad,,
2,604.54,Limpieza,,
2,604.55,Papelería y artículos de oficina,,
2,604.56,Mantenimiento y conservación,,
2,604.57,Seguros y fianzas,,
2,604.58,Otros impuestos y derechos,,
2,604.59,Recargos fiscales,,
2,604.6,Cuotas y suscripciones,,
2,604.61,Propaganda y publicidad,,
2,604.62,Capacitación al personal,,
2,604.63,Donativos y ayudas,,
2,604.64,Asistencia técnica,,
2,604.65,Regalías sujetas a otros porcentajes,,
2,604.66,Regalías sujetas al 5%,,
2,604.67,Regalías sujetas al 10%,,
2,604.68,Regalías sujetas al 15%,,
2,604.69,Regalías sujetas al 25%,,
2,604.7,Regalías sujetas al 30%,,
,,,,
2,604.71,Regalías sin retención,,
2,604.72,Fletes y acarreos,,
2,604.73,Gastos de importación,,
2,604.74,Patentes y marcas,,
2,604.75,Uniformes,,
2,604.76,Prediales,,
2,604.77,Gastos de fabricación de urbanización,,
2,604.78,Gastos de fabricación de construcción,,
2,604.79,Fletes del extranjero,,
2,604.8,Recolección de bienes del sector agropecuario y/o ganadero,,
2,604.81,Gastos no deducibles (sin requisitos fiscales),,
2,604.82,Otros gastos de fabricación,,
1,605,Mano de obra directa,,
2,605.01,Mano de obra,,
2,605.02,Sueldos y Salarios,,
2,605.03,Compensaciones,,
2,605.04,Tiempos extras,,
2,605.05,Premios de asistencia,,
2,605.06,Premios de puntualidad,,
2,605.07,Vacaciones,,
2,605.08,Prima vacacional,,
2,605.09,Prima dominical,,
2,605.1,Días festivos,,
2,605.11,Gratificaciones,,
2,605.12,Primas de antigüedad,,
2,605.13,Aguinaldo,,
2,605.14,Indemnizaciones,,
2,605.15,Destajo,,
2,605.16,Despensa,,
2,605.17,Transporte,,
2,605.18,Servicio médico,,
2,605.19,Ayuda en gastos funerarios,,
2,605.2,Fondo de ahorro,,
2,605.21,Cuotas sindicales,,
2,605.22,PTU,,
2,605.23,Estímulo al personal,,
2,605.24,Previsión social,,
2,605.25,Aportaciones para el plan de jubilación,,
,,,,
2,605.26,Otras prestaciones al personal,,
2,605.27,Asimilados a salarios,,
2,605.28,Cuotas al IMSS,,
2,605.29,Aportaciones al infonavit,,
2,605.3,Aportaciones al SAR,,
2,605.31,Otros costos de mano de obra directa,,
1,606,Facilidades administrativas fiscales,,
2,606.01,Facilidades administrativas fiscales,,
1,607,Participación de los trabajadores en las utilidades,,
2,607.01,Participación de los trabajadores en las utilidades,,
1,608,Participación en resultados de subsidiarias,,
2,608.01,Participación en resultados de subsidiarias,,
1,609,Participación en resultados de asociadas,,
2,609.01,Participación en resultados de asociadas,,
1,610,Participación de los trabajadores en las utilidades diferida,,
2,610.01,Participación de los trabajadores en las utilidades diferida,,
1,611,Impuesto Sobre la renta,,
2,611.01,Impuesto Sobre la renta,,
2,611.02,Impuesto Sobre la renta por remanente distribuible,,
1,612,Gastos no deducibles para CUFIN,,
2,612.01,Gastos no deducibles para CUFIN,,
1,613,Depreciación contable,,
2,613.01,Depreciación de edificios,,
2,613.02,Depreciación de maquinaria y equipo,,
2,613.03,"Depreciación de automóviles, autobuses, camiones de carga, tractocamiones, montacargas yremolques",,
2,613.04,Depreciación de mobiliario y equipo de oficina,,
2,613.05,Depreciación de equipo de cómputo,,
2,613.06,Depreciación de equipo de comunicación,,
2,613.07,"Depreciación de activos biológicos, vegetales y semovientes",,
2,613.08,Depreciación de otros activos fijos,,
2,613.09,Depreciación de ferrocarriles,,
2,613.1,Depreciación de embarcaciones,,
2,613.11,Depreciación de aviones,,
2,613.12,"Depreciación de troqueles, moldes, matrices y herramental",,
2,613.13,Depreciación de equipo de comunicaciones telefónicas,,
2,613.14,Depreciación de equipo de comunicación satelital,,
2,613.15,Depreciación de equipo de adaptaciones para personas con capacidades diferentes,,
,,,,
,,,,
2,613.16,Depreciación de maquinaria y equipo de generación de energía de fuentes renovables o desistemas de cogeneración de electricidad eficiente,,
2,613.17,Depreciación de adaptaciones y mejoras,,
2,613.18,Depreciación de otra maquinaria y equipo,,
1,614,Amortización contable,,
2,614.01,Amortización de gastos diferidos,,
2,614.02,Amortización de gastos pre operativos,,
2,614.03,"Amortización de regalías, asistencia técnica y otros gastos diferidos",,
2,614.04,Amortización de activos intangibles,,
2,614.05,Amortización de gastos de organización,,
2,614.06,Amortización de investigación y desarrollo de mercado,,
2,614.07,Amortización de marcas y patentes,,
2,614.08,Amortización de crédito mercantil,,
2,614.09,Amortización de gastos de instalación,,
2,614.1,Amortización de otros activos diferidos,,
,700,Resultado integral de financiamiento,,
1,701,Gastos financieros,,
2,701.01,Pérdida cambiaria,,
2,701.02,Pérdida cambiaria nacional parte relacionada,,
2,701.03,Pérdida cambiaria extranjero parte relacionada,,
2,701.04,Intereses a cargo bancario nacional,,
2,701.05,Intereses a cargo bancario extranjero,,
2,701.06,Intereses a cargo de personas físicas nacional,,
2,701.07,Intereses a cargo de personas físicas extranjero,,
2,701.08,Intereses a cargo de personas morales nacional,,
2,701.09,Intereses a cargo de personas morales extranjero,,
2,701.1,Comisiones bancarias,,
2,701.11,Otros gastos financieros,,
1,702,Productos financieros,,
2,702.01,Utilidad cambiaria,,
2,702.02,Utilidad cambiaria nacional parte relacionada,,
2,702.03,Utilidad cambiaria extranjero parte relacionada,,
2,702.04,Intereses a favor bancarios nacional,,
2,702.05,Intereses a favor bancarios extranjero,,
2,702.06,Intereses a favor de personas físicas nacional,,
2,702.07,Intereses a favor de personas físicas extranjero,,
2,702.08,Intereses a favor de personas morales nacional,,
2,702.09,Intereses a favor de personas morales extranjero,,
,,,,
2,702.1,Otros productos financieros,,
1,703,Otros gastos,,
2,703.01,Pérdida en venta y/o baja de terrenos,,
2,703.02,Pérdida en venta y/o baja de edificios,,
2,703.03,Pérdida en venta y/o baja de maquinaria y equipo,,
2,703.04,"Pérdida en venta y/o baja de automóviles, autobuses, camiones de carga, tractocamiones,montacargas y remolques",,
2,703.05,Pérdida en venta y/o baja de mobiliario y equipo de oficina,,
2,703.06,Pérdida en venta y/o baja de equipo de cómputo,,
2,703.07,Pérdida en venta y/o baja de equipo de comunicación,,
2,703.08,"Pérdida en venta y/o baja de activos biológicos, vegetales y semovientes",,
2,703.09,Pérdida en venta y/o baja de otros activos fijos,,
2,703.1,Pérdida en venta y/o baja de ferrocarriles,,
2,703.11,Pérdida en venta y/o baja de embarcaciones,,
2,703.12,Pérdida en venta y/o baja de aviones,,
2,703.13,"Pérdida en venta y/o baja de troqueles, moldes, matrices y herramental",,
2,703.14,Pérdida en venta y/o baja de equipo de comunicaciones telefónicas,,
2,703.15,Pérdida en venta y/o baja de equipo de comunicación satelital,,
2,703.16,Pérdida en venta y/o baja de equipo de adaptaciones para personas con capacidades diferentes,,
2,703.17,Pérdida en venta y/o baja de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente,,
2,703.18,Pérdida en venta y/o baja de otra maquinaria y equipo,,
2,703.19,Pérdida por enajenación de acciones,,
2,703.2,Pérdida por enajenación de partes sociales,,
2,703.21,Otros gastos,,
1,704,Otros productos,,
2,704.01,Ganancia en venta y/o baja de terrenos,,
2,704.02,Ganancia en venta y/o baja de edificios,,
2,704.03,Ganancia en venta y/o baja de maquinaria y equipo,,
2,704.04,"Ganancia en venta y/o baja de automóviles, autobuses, camiones de carga, tractocamiones,montacargas y remolques",,
2,704.05,Ganancia en venta y/o baja de mobiliario y equipo de oficina,,
2,704.06,Ganancia en venta y/o baja de equipo de cómputo,,
2,704.07,Ganancia en venta y/o baja de equipo de comunicación,,
2,704.08,"Ganancia en venta y/o baja de activos biológicos, vegetales y semovientes",,
2,704.09,Ganancia en venta y/o baja de otros activos fijos,,
2,704.1,Ganancia en venta y/o baja de ferrocarriles,,
2,704.11,Ganancia en venta y/o baja de embarcaciones,,
,,,,
2,704.12,Ganancia en venta y/o baja de aviones,,
2,704.13,"Ganancia en venta y/o baja de troqueles, moldes, matrices y herramental",,
2,704.14,Ganancia en venta y/o baja de equipo de comunicaciones telefónicas,,
2,704.15,Ganancia en venta y/o baja de equipo de comunicación satelital,,
2,704.16,Ganancia en venta y/o baja de equipo de adaptaciones para personas con capacidades diferentes,,
2,704.17,Ganancia en venta de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente,,
2,704.18,Ganancia en venta y/o baja de otra maquinaria y equipo,,
2,704.19,Ganancia por enajenación de acciones,,
2,704.2,Ganancia por enajenación de partes sociales,,
2,704.21,Ingresos por estímulos fiscales,,
2,704.22,Ingresos por condonación de adeudo,,
2,704.23,Otros productos,,
,800,Cuentas de orden,,
1,801,UFIN del ejercicio,,
2,801.01,UFIN,,
2,801.02,Contra cuenta UFIN,,
1,802,CUFIN del ejercicio,,
2,802.01,CUFIN,,
2,802.02,Contra cuenta CUFIN,,
1,803,CUFIN de ejercicios anteriores,,
2,803.01,CUFIN de ejercicios anteriores,,
2,803.02,Contra cuenta CUFIN de ejercicios anteriores,,
1,804,CUFINRE del ejercicio,,
2,804.01,CUFINRE,,
2,804.02,Contra cuenta CUFINRE,,
1,805,CUFINRE de ejercicios anteriores,,
2,805.01,CUFINRE de ejercicios anteriores,,
2,805.02,Contra cuenta CUFINRE de ejercicios anteriores,,
1,806,CUCA del ejercicio,,
2,806.01,CUCA,,
2,806.02,Contra cuenta CUCA,,
1,807,CUCA de ejercicios anteriores,,
2,807.01,CUCA de ejercicios anteriores,,
2,807.02,Contra cuenta CUCA de ejercicios anteriores,,
1,808,Ajuste anual por inflación acumulable,,
2,808.01,Ajuste anual por inflación acumulable,,
,,,,
2,808.02,Acumulación del ajuste anual inflacionario,,
1,809,Ajuste anual por inflación deducible,,
2,809.01,Ajuste anual por inflación deducible,,
2,809.02,Deducción del ajuste anual inflacionario,,
1,810,Deducción de inversión,,
2,810.01,Deducción de inversión,,
2,810.02,Contra cuenta deducción de inversiones,,
1,811,Utilidad o pérdida fiscal en venta y/o baja de activo fijo,,
2,811.01,Utilidad o pérdida fiscal en venta y/o baja de activo fijo,,
2,811.02,Contra cuenta utilidad o pérdida fiscal en venta y/o baja de activo fijo,,
1,812,Utilidad o pérdida fiscal en venta acciones o partes sociales,,
2,812.01,Utilidad o pérdida fiscal en venta acciones o partes sociales,,
2,812.02,Contra cuenta utilidad o pérdida fiscal en venta acciones o partes sociales,,
1,813,Pérdidas fiscales pendientes de amortizar actualizadas de ejercicios anteriores,,
2,813.01,Pérdidas fiscales pendientes de amortizar actualizadas de ejercicios anteriores,,
2,813.02,Actualización de pérdidas fiscales pendientes de amortizar de ejercicios anteriores,,
1,814,Mercancías recibidas en consignación,,
2,814.01,Mercancías recibidas en consignación,,
2,814.02,Consignación de mercancías recibidas,,
1,815,Crédito fiscal de IVA e IEPS por la importación de mercancías para empresas certificadas,,
2,815.01,Crédito fiscal de IVA e IEPS por la importación de mercancías,,
2,815.02,Importación de mercancías con aplicación de crédito fiscal de IVA e IEPS,,
1,816,Crédito fiscal de IVA e IEPS por la importación de activos fijos para empresas certificadas,,
2,816.01,Crédito fiscal de IVA e IEPS por la importación de activo fijo,,
2,816.02,Importación de activo fijo con aplicación de crédito fiscal de IVA e IEPS,,
1,899,Otras cuentas de orden,,
2,899.01,Otras cuentas de orden,,
2,899.02,Contra cuenta otras cuentas de orden,,
n*,0,Código para uso exclusivo de contribuyentes del sector financiero,,
,,,,
"n* = Se deberá indicar el nivel en el que se encuentra la cuenta o subcuenta en el catálogo del contribuyente. (Ejemplo: 1,2,3,4,5, etc...)",,,,
